country,import_leisure,import_politics,import_work,goals_parents_proud,men_political_leaders,univ_boy_girl,happiness,health,freedom,standard_of_living,trust,confidence_gov,confidence_univ,everyone_provided,corrupt,sci_tech_life,sci_not_important,age,age_3cat,highest_edu_3cat,income_3cat
CHN,rather important,rather important,very important,agree,agree,disagree,rather happy,fair,5,better off,most people can be trusted,quite a lot,quite a lot,3,7,10,1,42,30-49 years,high,medium
CHN,not very important,rather important,very important,disagree,disagree,disagree,not very happy,good,4,better off,most people can be trusted,not very much,quite a lot,7,7,10,1,41,30-49 years,high,medium
CHN,not very important,not very important,not very important,agree,disagree,disagree,very happy,good,8,better off,most people can be trusted,a great deal,a great deal,2,2,9,3,18,16-29 years,middle,medium
CHN,not very important,rather important,not very important,agree,agree,disagree,very happy,very good,7,better off,most people can be trusted,quite a lot,quite a lot,2,4,10,1,30,30-49 years,middle,medium
CHN,rather important,rather important,very important,agree,agree,agree,very happy,very good,6,worse off,most people can be trusted,a great deal,quite a lot,4,4,10,3,18,16-29 years,middle,high
CHN,rather important,rather important,rather important,agree,disagree,disagree,rather happy,good,8,better off,most people can be trusted,a great deal,a great deal,4,7,9,2,49,30-49 years,lower,medium
CHN,not very important,very important,very important,agree,agree,agree,very happy,very good,7,better off,most people can be trusted,quite a lot,quite a lot,2,4,10,1,55,50 years and over,middle,medium
CHN,very important,rather important,rather important,disagree,strongly agree,disagree,rather happy,very good,9,better off,most people can be trusted,a great deal,quite a lot,8,6,10,1,48,30-49 years,high,medium
CHN,very important,not very important,rather important,agree,agree,disagree,rather happy,fair,6,better off,need to be very careful,a great deal,a great deal,7,6,10,1,44,30-49 years,middle,medium
CHN,not very important,rather important,very important,agree,disagree,disagree,not very happy,good,8,better off,most people can be trusted,not very much,a great deal,4,8,8,9,45,30-49 years,lower,medium
CHN,rather important,not very important,rather important,disagree,agree,disagree,rather happy,good,9,better off,most people can be trusted,quite a lot,quite a lot,1,10,10,1,36,30-49 years,middle,medium
CHN,rather important,rather important,rather important,strongly agree,agree,strongly agree,very happy,good,6,worse off,need to be very careful,a great deal,quite a lot,7,7,10,1,57,50 years and over,middle,medium
CHN,rather important,rather important,very important,agree,agree,disagree,not very happy,very good,8,about the same,most people can be trusted,quite a lot,quite a lot,4,8,9,1,49,30-49 years,lower,low
CHN,rather important,rather important,rather important,strongly agree,agree,agree,rather happy,good,6,better off,most people can be trusted,quite a lot,quite a lot,8,9,9,2,52,50 years and over,lower,medium
CHN,rather important,rather important,rather important,disagree,agree,disagree,rather happy,good,8,better off,most people can be trusted,quite a lot,quite a lot,5,7,8,1,27,16-29 years,high,medium
CHN,rather important,rather important,not very important,agree,disagree,disagree,rather happy,very good,7,better off,most people can be trusted,quite a lot,a great deal,10,1,10,1,27,16-29 years,middle,low
CHN,not very important,not very important,not very important,strongly agree,disagree,agree,rather happy,good,7,better off,most people can be trusted,a great deal,quite a lot,1,5,10,2,52,50 years and over,lower,medium
CHN,not very important,not very important,rather important,agree,agree,disagree,rather happy,good,10,better off,most people can be trusted,a great deal,quite a lot,4,7,10,1,51,50 years and over,lower,low
CHN,rather important,rather important,not very important,agree,agree,disagree,not very happy,good,5,better off,most people can be trusted,quite a lot,quite a lot,5,5,8,1,64,50 years and over,lower,low
CHN,rather important,rather important,rather important,agree,strongly agree,strongly agree,rather happy,fair,5,better off,need to be very careful,quite a lot,quite a lot,8,5,9,2,69,50 years and over,lower,medium
CHN,very important,very important,rather important,agree,agree,disagree,rather happy,fair,8,better off,most people can be trusted,a great deal,quite a lot,8,7,9,1,55,50 years and over,middle,medium
CHN,rather important,not very important,rather important,disagree,disagree,agree,rather happy,good,7,better off,most people can be trusted,quite a lot,quite a lot,8,3,3,1,18,16-29 years,middle,medium
CHN,rather important,very important,rather important,agree,disagree,disagree,very happy,fair,5,better off,need to be very careful,a great deal,a great deal,2,5,10,3,24,16-29 years,high,medium
CHN,rather important,rather important,rather important,disagree,agree,agree,very happy,poor,10,better off,most people can be trusted,quite a lot,quite a lot,10,10,10,1,51,50 years and over,lower,medium
CHN,rather important,very important,very important,agree,disagree,agree,very happy,fair,8,worse off,most people can be trusted,quite a lot,quite a lot,1,1,10,1,27,16-29 years,middle,low
CHN,rather important,rather important,rather important,agree,disagree,disagree,rather happy,good,8,better off,most people can be trusted,a great deal,quite a lot,4,6,7,3,51,50 years and over,lower,medium
CHN,not very important,NA,very important,agree,agree,disagree,rather happy,fair,8,better off,need to be very careful,quite a lot,quite a lot,9,3,10,3,56,50 years and over,lower,medium
CHN,very important,very important,rather important,agree,agree,disagree,rather happy,good,9,better off,most people can be trusted,a great deal,a great deal,4,8,10,1,43,30-49 years,middle,medium
CHN,very important,very important,not very important,agree,strongly agree,strongly disagree,very happy,very good,9,better off,need to be very careful,a great deal,a great deal,7,9,8,3,69,50 years and over,lower,medium
CHN,rather important,not very important,rather important,agree,agree,disagree,rather happy,fair,8,better off,need to be very careful,quite a lot,quite a lot,1,7,5,1,48,30-49 years,high,low
CHN,rather important,rather important,rather important,agree,disagree,disagree,rather happy,good,7,better off,most people can be trusted,quite a lot,not very much,8,5,7,3,66,50 years and over,lower,medium
CHN,not very important,very important,very important,agree,disagree,disagree,very happy,good,10,better off,most people can be trusted,quite a lot,a great deal,10,10,10,1,65,50 years and over,lower,medium
CHN,rather important,not very important,not very important,agree,disagree,disagree,not very happy,poor,5,better off,need to be very careful,quite a lot,quite a lot,9,6,7,10,63,50 years and over,lower,low
CHN,very important,rather important,very important,agree,strongly disagree,strongly disagree,not at all happy,fair,10,worse off,need to be very careful,none at all,quite a lot,10,7,6,1,27,16-29 years,lower,medium
CHN,rather important,rather important,very important,disagree,disagree,disagree,not very happy,good,10,better off,most people can be trusted,a great deal,a great deal,5,6,9,8,48,30-49 years,lower,low
CHN,rather important,rather important,rather important,agree,agree,strongly disagree,rather happy,fair,7,better off,most people can be trusted,quite a lot,not very much,8,7,7,5,38,30-49 years,lower,medium
CHN,not very important,not very important,very important,disagree,disagree,strongly disagree,not very happy,fair,3,worse off,most people can be trusted,quite a lot,not very much,5,10,10,1,40,30-49 years,lower,medium
CHN,not very important,rather important,very important,agree,agree,disagree,not very happy,good,4,better off,most people can be trusted,quite a lot,quite a lot,3,9,9,2,55,50 years and over,lower,low
CHN,rather important,not very important,rather important,agree,agree,disagree,rather happy,very good,7,better off,most people can be trusted,quite a lot,not very much,2,9,9,9,38,30-49 years,middle,medium
CHN,not at all important,rather important,not at all important,disagree,agree,disagree,very happy,good,2,better off,most people can be trusted,quite a lot,quite a lot,3,7,8,1,65,50 years and over,lower,medium
CHN,very important,very important,rather important,strongly agree,strongly agree,strongly disagree,very happy,fair,9,better off,most people can be trusted,a great deal,quite a lot,9,4,9,1,67,50 years and over,lower,medium
CHN,rather important,very important,rather important,agree,agree,disagree,rather happy,good,6,better off,need to be very careful,quite a lot,quite a lot,1,9,7,1,61,50 years and over,middle,medium
CHN,rather important,not very important,rather important,strongly agree,disagree,strongly disagree,rather happy,good,7,better off,most people can be trusted,quite a lot,quite a lot,5,5,10,2,43,30-49 years,lower,low
CHN,not very important,not very important,not very important,agree,agree,disagree,not very happy,fair,3,better off,need to be very careful,not very much,quite a lot,1,10,10,1,60,50 years and over,lower,medium
CHN,not very important,rather important,rather important,agree,agree,agree,not very happy,fair,9,better off,need to be very careful,quite a lot,quite a lot,9,5,8,4,46,30-49 years,lower,medium
CHN,rather important,rather important,rather important,agree,disagree,strongly disagree,rather happy,good,7,better off,most people can be trusted,quite a lot,quite a lot,4,8,9,1,30,30-49 years,high,low
CHN,rather important,not very important,rather important,disagree,disagree,disagree,rather happy,very good,8,better off,most people can be trusted,quite a lot,quite a lot,4,8,10,1,29,16-29 years,high,medium
CHN,rather important,rather important,not very important,agree,disagree,disagree,rather happy,fair,8,better off,need to be very careful,quite a lot,quite a lot,1,10,7,7,67,50 years and over,lower,medium
CHN,rather important,not very important,rather important,agree,disagree,disagree,rather happy,good,7,better off,most people can be trusted,a great deal,quite a lot,4,5,10,2,20,16-29 years,high,medium
CHN,rather important,not very important,rather important,disagree,agree,disagree,rather happy,good,4,better off,most people can be trusted,quite a lot,quite a lot,7,5,10,4,53,50 years and over,lower,medium
CHN,rather important,rather important,rather important,agree,agree,disagree,rather happy,fair,6,better off,most people can be trusted,quite a lot,a great deal,1,8,5,3,60,50 years and over,lower,medium
CHN,not very important,not at all important,very important,agree,disagree,disagree,rather happy,fair,5,better off,need to be very careful,a great deal,a great deal,10,8,10,1,53,50 years and over,lower,low
CHN,not very important,not very important,rather important,agree,strongly agree,strongly disagree,rather happy,very good,8,better off,need to be very careful,a great deal,not very much,10,10,9,1,27,16-29 years,middle,low
CHN,rather important,rather important,very important,strongly agree,disagree,disagree,rather happy,very good,7,better off,need to be very careful,a great deal,quite a lot,7,10,7,1,47,30-49 years,lower,low
CHN,rather important,very important,rather important,disagree,agree,disagree,rather happy,very good,6,better off,need to be very careful,quite a lot,a great deal,4,9,8,1,36,30-49 years,lower,medium
CHN,NA,NA,NA,disagree,agree,disagree,rather happy,fair,10,better off,most people can be trusted,quite a lot,quite a lot,5,9,8,1,44,30-49 years,lower,medium
CHN,rather important,very important,very important,strongly agree,agree,disagree,not very happy,poor,2,better off,need to be very careful,a great deal,quite a lot,1,8,6,6,53,50 years and over,middle,medium
CHN,not very important,rather important,very important,agree,disagree,disagree,very happy,good,7,better off,need to be very careful,quite a lot,quite a lot,7,8,9,4,23,16-29 years,middle,medium
CHN,rather important,not very important,rather important,agree,disagree,agree,rather happy,good,10,better off,most people can be trusted,quite a lot,quite a lot,8,2,5,5,38,30-49 years,lower,medium
CHN,rather important,not very important,rather important,agree,disagree,disagree,very happy,good,7,better off,most people can be trusted,a great deal,a great deal,8,3,9,1,19,16-29 years,high,medium
CHN,not very important,rather important,very important,strongly agree,strongly agree,agree,rather happy,good,5,better off,most people can be trusted,a great deal,a great deal,3,4,8,4,54,50 years and over,lower,medium
CHN,rather important,not very important,rather important,agree,agree,strongly agree,rather happy,good,6,better off,most people can be trusted,quite a lot,quite a lot,2,5,8,2,23,16-29 years,high,medium
CHN,very important,rather important,rather important,agree,agree,disagree,very happy,very poor,6,better off,most people can be trusted,quite a lot,quite a lot,1,6,10,1,44,30-49 years,lower,low
CHN,rather important,not very important,rather important,agree,agree,strongly disagree,rather happy,fair,8,better off,need to be very careful,quite a lot,quite a lot,8,7,8,1,20,16-29 years,high,medium
CHN,rather important,rather important,very important,agree,disagree,disagree,rather happy,fair,8,worse off,need to be very careful,a great deal,a great deal,9,6,10,1,31,30-49 years,lower,low
CHN,rather important,rather important,very important,strongly agree,agree,disagree,rather happy,fair,8,better off,most people can be trusted,a great deal,a great deal,2,5,10,1,44,30-49 years,middle,medium
CHN,rather important,not very important,rather important,agree,agree,disagree,rather happy,fair,8,better off,most people can be trusted,a great deal,a great deal,7,8,10,1,55,50 years and over,high,medium
CHN,very important,rather important,very important,agree,agree,disagree,very happy,fair,10,better off,most people can be trusted,a great deal,quite a lot,8,10,10,1,37,30-49 years,middle,medium
CHN,rather important,not very important,rather important,agree,agree,disagree,rather happy,fair,8,better off,most people can be trusted,a great deal,a great deal,8,4,8,2,24,16-29 years,high,low
CHN,not very important,rather important,rather important,agree,agree,disagree,very happy,good,10,better off,most people can be trusted,quite a lot,quite a lot,5,3,10,1,44,30-49 years,lower,medium
CHN,rather important,rather important,rather important,agree,agree,disagree,rather happy,fair,8,better off,most people can be trusted,a great deal,quite a lot,5,5,10,1,43,30-49 years,lower,low
CHN,not very important,not very important,not very important,agree,agree,disagree,rather happy,fair,8,better off,most people can be trusted,a great deal,quite a lot,4,8,10,3,59,50 years and over,lower,low
CHN,not very important,not very important,rather important,strongly agree,disagree,disagree,rather happy,very good,5,better off,need to be very careful,a great deal,not very much,5,8,10,1,28,16-29 years,lower,low
CHN,rather important,rather important,rather important,agree,agree,disagree,not very happy,good,8,better off,most people can be trusted,quite a lot,quite a lot,3,7,8,1,42,30-49 years,lower,medium
CHN,rather important,very important,rather important,agree,agree,disagree,rather happy,fair,9,better off,most people can be trusted,a great deal,quite a lot,8,8,10,2,44,30-49 years,middle,medium
CHN,rather important,not very important,rather important,agree,disagree,disagree,rather happy,fair,7,better off,need to be very careful,a great deal,quite a lot,6,8,9,2,59,50 years and over,lower,low
CHN,very important,very important,very important,strongly agree,agree,strongly disagree,very happy,very good,8,better off,need to be very careful,quite a lot,quite a lot,2,3,10,7,49,30-49 years,lower,medium
CHN,not very important,not at all important,rather important,agree,agree,agree,rather happy,good,8,better off,most people can be trusted,a great deal,quite a lot,1,7,8,1,64,50 years and over,lower,low
CHN,very important,not very important,not very important,disagree,disagree,strongly disagree,rather happy,fair,6,better off,NA,quite a lot,quite a lot,8,5,8,1,20,16-29 years,high,medium
CHN,very important,not at all important,rather important,agree,agree,disagree,rather happy,poor,3,better off,need to be very careful,not very much,quite a lot,5,10,10,2,44,30-49 years,high,low
CHN,rather important,rather important,rather important,agree,agree,disagree,rather happy,good,10,better off,most people can be trusted,a great deal,quite a lot,9,7,10,1,60,50 years and over,middle,low
CHN,not very important,rather important,very important,disagree,disagree,disagree,rather happy,good,9,better off,need to be very careful,quite a lot,quite a lot,1,10,9,1,36,30-49 years,lower,medium
CHN,rather important,rather important,rather important,disagree,disagree,strongly disagree,rather happy,good,8,better off,most people can be trusted,quite a lot,quite a lot,7,7,8,2,23,16-29 years,high,low
CHN,rather important,rather important,very important,agree,disagree,strongly disagree,rather happy,very good,8,better off,need to be very careful,a great deal,a great deal,7,3,9,3,22,16-29 years,high,medium
CHN,very important,rather important,very important,agree,disagree,disagree,rather happy,fair,8,better off,most people can be trusted,a great deal,quite a lot,5,6,9,1,23,16-29 years,high,medium
CHN,very important,rather important,rather important,agree,agree,disagree,rather happy,fair,6,better off,need to be very careful,quite a lot,not very much,8,9,8,1,66,50 years and over,lower,medium
CHN,rather important,rather important,rather important,agree,agree,disagree,rather happy,fair,6,better off,most people can be trusted,quite a lot,not very much,8,5,9,3,43,30-49 years,middle,low
CHN,not very important,very important,rather important,disagree,disagree,disagree,rather happy,good,7,better off,most people can be trusted,a great deal,quite a lot,7,4,9,3,37,30-49 years,middle,low
CHN,rather important,not very important,rather important,agree,disagree,disagree,rather happy,very good,6,better off,need to be very careful,a great deal,quite a lot,6,10,10,1,29,16-29 years,high,low
CHN,very important,not very important,very important,agree,disagree,strongly disagree,rather happy,fair,6,worse off,need to be very careful,quite a lot,not very much,8,4,6,6,25,16-29 years,lower,medium
CHN,rather important,very important,very important,agree,disagree,disagree,very happy,good,7,better off,most people can be trusted,quite a lot,quite a lot,3,5,10,2,37,30-49 years,high,medium
CHN,not very important,rather important,rather important,strongly agree,strongly disagree,strongly disagree,rather happy,very good,10,better off,most people can be trusted,a great deal,quite a lot,8,6,10,1,57,50 years and over,middle,medium
CHN,rather important,very important,very important,agree,disagree,disagree,very happy,good,10,better off,most people can be trusted,a great deal,a great deal,8,3,9,1,67,50 years and over,high,medium
CHN,very important,rather important,rather important,disagree,strongly agree,strongly disagree,very happy,fair,8,better off,need to be very careful,a great deal,a great deal,5,6,10,1,56,50 years and over,middle,high
CHN,rather important,very important,rather important,strongly agree,agree,disagree,rather happy,fair,6,better off,most people can be trusted,a great deal,quite a lot,7,8,9,1,58,50 years and over,lower,medium
CHN,not very important,very important,very important,agree,agree,strongly disagree,very happy,good,8,better off,most people can be trusted,a great deal,quite a lot,8,4,10,1,48,30-49 years,high,medium
CHN,very important,not very important,rather important,agree,agree,disagree,rather happy,good,7,better off,most people can be trusted,a great deal,quite a lot,5,8,10,1,21,16-29 years,high,medium
CHN,rather important,rather important,rather important,strongly agree,agree,disagree,rather happy,very good,10,better off,need to be very careful,quite a lot,quite a lot,8,6,9,1,50,50 years and over,lower,medium
CHN,rather important,not very important,rather important,agree,disagree,strongly disagree,rather happy,fair,8,better off,most people can be trusted,quite a lot,quite a lot,5,6,10,1,36,30-49 years,high,low
CHN,very important,very important,rather important,agree,strongly disagree,strongly disagree,very happy,fair,4,better off,need to be very careful,a great deal,quite a lot,6,7,9,2,63,50 years and over,lower,low
CHN,rather important,not very important,very important,agree,disagree,strongly disagree,very happy,good,7,better off,most people can be trusted,a great deal,quite a lot,8,3,9,3,43,30-49 years,lower,medium
CHN,not very important,not very important,rather important,agree,disagree,strongly disagree,very happy,fair,7,better off,most people can be trusted,a great deal,quite a lot,1,9,8,1,61,50 years and over,lower,medium
CHN,rather important,not at all important,not very important,strongly agree,agree,agree,rather happy,good,10,better off,NA,a great deal,a great deal,10,1,10,1,64,50 years and over,lower,medium
CHN,very important,very important,very important,agree,disagree,disagree,rather happy,good,6,better off,need to be very careful,a great deal,quite a lot,7,5,10,3,26,16-29 years,high,medium
CHN,rather important,very important,very important,disagree,disagree,disagree,rather happy,fair,6,better off,need to be very careful,a great deal,quite a lot,7,8,7,1,34,30-49 years,middle,medium
CHN,rather important,rather important,very important,agree,agree,disagree,not very happy,fair,9,better off,most people can be trusted,quite a lot,not very much,9,8,9,2,48,30-49 years,lower,low
CHN,not very important,very important,very important,strongly agree,agree,disagree,very happy,very good,10,better off,need to be very careful,a great deal,a great deal,10,1,10,1,57,50 years and over,middle,medium
CHN,not very important,not very important,very important,disagree,strongly agree,disagree,rather happy,fair,10,better off,most people can be trusted,quite a lot,quite a lot,10,1,9,1,48,30-49 years,middle,medium
CHN,rather important,rather important,rather important,agree,disagree,disagree,very happy,poor,7,better off,most people can be trusted,quite a lot,quite a lot,4,3,10,1,68,50 years and over,lower,low
CHN,very important,not very important,very important,strongly agree,disagree,disagree,rather happy,good,8,better off,most people can be trusted,not very much,none at all,5,10,10,1,38,30-49 years,lower,medium
CHN,not very important,not very important,very important,agree,agree,strongly disagree,rather happy,good,7,better off,most people can be trusted,quite a lot,quite a lot,7,3,10,1,30,30-49 years,lower,medium
CHN,not very important,rather important,rather important,disagree,disagree,disagree,rather happy,very good,10,better off,most people can be trusted,a great deal,quite a lot,9,2,4,2,52,50 years and over,lower,medium
CHN,not very important,not very important,rather important,agree,agree,agree,rather happy,fair,5,better off,most people can be trusted,quite a lot,quite a lot,4,5,8,3,57,50 years and over,high,low
CHN,not very important,rather important,not very important,agree,agree,strongly disagree,very happy,very good,10,better off,need to be very careful,quite a lot,quite a lot,10,10,10,1,65,50 years and over,middle,medium
CHN,not very important,not very important,rather important,agree,agree,agree,not very happy,good,7,better off,most people can be trusted,not very much,not very much,1,8,10,1,50,50 years and over,high,medium
CHN,rather important,very important,very important,agree,agree,disagree,rather happy,good,10,better off,most people can be trusted,a great deal,quite a lot,9,3,8,3,43,30-49 years,lower,medium
CHN,rather important,rather important,not very important,agree,agree,disagree,rather happy,good,10,better off,most people can be trusted,quite a lot,quite a lot,1,3,10,3,44,30-49 years,middle,medium
CHN,rather important,rather important,very important,agree,disagree,disagree,rather happy,good,8,better off,most people can be trusted,a great deal,a great deal,10,8,10,7,53,50 years and over,lower,low
CHN,rather important,rather important,very important,disagree,agree,disagree,rather happy,good,7,better off,most people can be trusted,quite a lot,quite a lot,4,7,8,2,27,16-29 years,high,medium
CHN,rather important,rather important,rather important,disagree,agree,strongly disagree,rather happy,good,6,better off,most people can be trusted,quite a lot,quite a lot,6,7,9,1,27,16-29 years,high,medium
CHN,not very important,very important,very important,agree,agree,agree,very happy,fair,5,better off,need to be very careful,a great deal,a great deal,6,3,6,1,20,16-29 years,high,medium
CHN,very important,rather important,rather important,disagree,strongly disagree,strongly disagree,rather happy,fair,8,better off,need to be very careful,quite a lot,quite a lot,4,8,7,1,48,30-49 years,high,medium
CHN,very important,rather important,very important,strongly agree,strongly agree,strongly agree,not very happy,fair,5,worse off,need to be very careful,a great deal,quite a lot,2,5,10,1,49,30-49 years,lower,medium
CHN,rather important,rather important,rather important,agree,disagree,disagree,rather happy,good,7,better off,most people can be trusted,a great deal,a great deal,6,7,8,4,24,16-29 years,high,medium
CHN,very important,not at all important,very important,strongly agree,agree,agree,rather happy,poor,4,about the same,need to be very careful,quite a lot,not very much,3,8,6,5,26,16-29 years,middle,low
CHN,not very important,not very important,rather important,agree,disagree,disagree,rather happy,good,7,better off,most people can be trusted,a great deal,quite a lot,4,7,8,3,45,30-49 years,middle,medium
CHN,rather important,rather important,rather important,disagree,disagree,disagree,rather happy,very good,6,better off,need to be very careful,quite a lot,not very much,8,6,8,3,45,30-49 years,high,low
CHN,rather important,rather important,very important,agree,disagree,agree,very happy,good,8,worse off,most people can be trusted,a great deal,quite a lot,1,2,8,2,40,30-49 years,high,medium
CHN,rather important,not very important,rather important,agree,disagree,disagree,rather happy,fair,6,better off,most people can be trusted,a great deal,quite a lot,7,8,7,4,28,16-29 years,high,medium
CHN,rather important,rather important,very important,strongly agree,strongly agree,strongly agree,very happy,fair,9,better off,NA,a great deal,quite a lot,4,3,10,1,26,16-29 years,lower,high
CHN,rather important,rather important,rather important,agree,disagree,disagree,rather happy,good,8,better off,need to be very careful,a great deal,quite a lot,3,8,7,3,24,16-29 years,middle,medium
CHN,not very important,rather important,rather important,strongly agree,strongly disagree,disagree,rather happy,good,7,better off,most people can be trusted,quite a lot,a great deal,3,8,8,4,19,16-29 years,lower,medium
CHN,rather important,rather important,rather important,disagree,disagree,strongly disagree,rather happy,good,8,better off,most people can be trusted,a great deal,quite a lot,6,7,7,3,21,16-29 years,high,medium
CHN,very important,rather important,very important,agree,disagree,agree,rather happy,good,8,better off,most people can be trusted,a great deal,quite a lot,8,2,9,1,24,16-29 years,high,medium
CHN,rather important,not very important,not very important,disagree,disagree,disagree,rather happy,good,7,better off,need to be very careful,a great deal,not very much,7,7,8,4,48,30-49 years,middle,medium
CHN,very important,rather important,rather important,agree,agree,disagree,rather happy,good,7,better off,most people can be trusted,a great deal,quite a lot,7,7,8,4,23,16-29 years,high,medium
CHN,rather important,rather important,very important,agree,agree,disagree,rather happy,fair,8,better off,most people can be trusted,a great deal,quite a lot,5,8,8,4,53,50 years and over,lower,medium
CHN,rather important,rather important,not very important,disagree,disagree,disagree,very happy,poor,10,better off,need to be very careful,a great deal,a great deal,1,7,10,1,26,16-29 years,high,low
CHN,rather important,not very important,not very important,agree,agree,disagree,rather happy,fair,7,better off,need to be very careful,a great deal,not very much,7,6,9,5,65,50 years and over,lower,medium
CHN,very important,very important,very important,agree,disagree,disagree,rather happy,good,6,better off,most people can be trusted,a great deal,quite a lot,5,5,10,1,51,50 years and over,high,medium
CHN,very important,very important,very important,disagree,disagree,strongly disagree,very happy,good,7,better off,most people can be trusted,a great deal,a great deal,5,5,6,1,22,16-29 years,high,medium
CHN,rather important,rather important,very important,strongly agree,agree,strongly agree,not very happy,fair,8,better off,need to be very careful,a great deal,quite a lot,9,10,10,1,33,30-49 years,high,low
CHN,rather important,not very important,rather important,disagree,disagree,disagree,not very happy,fair,6,better off,most people can be trusted,not very much,quite a lot,4,7,7,3,47,30-49 years,NA,medium
CHN,not very important,not very important,rather important,agree,agree,disagree,rather happy,very good,6,better off,need to be very careful,a great deal,a great deal,7,7,8,2,56,50 years and over,lower,medium
CHN,rather important,not very important,rather important,disagree,agree,disagree,very happy,fair,6,better off,most people can be trusted,quite a lot,a great deal,9,7,8,3,39,30-49 years,middle,medium
CHN,very important,rather important,rather important,disagree,agree,agree,rather happy,good,8,better off,need to be very careful,a great deal,a great deal,5,6,8,2,51,50 years and over,lower,low
CHN,not at all important,not very important,not very important,strongly agree,strongly agree,disagree,very happy,poor,8,better off,need to be very careful,a great deal,quite a lot,4,4,7,5,56,50 years and over,lower,low
CHN,rather important,not very important,rather important,disagree,disagree,disagree,rather happy,good,7,better off,most people can be trusted,quite a lot,quite a lot,6,7,8,3,40,30-49 years,middle,medium
CHN,not very important,very important,very important,agree,agree,agree,rather happy,good,7,better off,need to be very careful,a great deal,a great deal,7,6,8,3,35,30-49 years,middle,medium
CHN,rather important,rather important,rather important,disagree,disagree,disagree,rather happy,very good,8,better off,most people can be trusted,a great deal,a great deal,8,7,8,1,32,30-49 years,high,medium
CHN,NA,NA,NA,strongly agree,strongly agree,disagree,rather happy,good,7,better off,most people can be trusted,a great deal,quite a lot,1,7,10,1,51,50 years and over,lower,low
CHN,very important,not very important,rather important,agree,disagree,disagree,very happy,good,8,better off,most people can be trusted,a great deal,quite a lot,6,6,8,4,40,30-49 years,lower,medium
CHN,very important,not very important,rather important,disagree,agree,strongly disagree,very happy,good,7,better off,most people can be trusted,a great deal,a great deal,5,7,9,2,39,30-49 years,high,medium
CHN,rather important,not very important,very important,disagree,strongly disagree,strongly disagree,very happy,very good,9,better off,most people can be trusted,quite a lot,quite a lot,6,7,7,1,55,50 years and over,lower,medium
CHN,rather important,not very important,very important,agree,agree,disagree,rather happy,good,8,better off,most people can be trusted,a great deal,quite a lot,8,8,9,3,45,30-49 years,lower,medium
CHN,very important,rather important,rather important,agree,agree,agree,rather happy,fair,7,better off,most people can be trusted,quite a lot,not very much,7,8,8,1,41,30-49 years,middle,medium
CHN,very important,not very important,rather important,disagree,agree,disagree,rather happy,good,7,better off,need to be very careful,a great deal,quite a lot,8,6,9,2,42,30-49 years,middle,medium
CHN,very important,not very important,rather important,disagree,strongly disagree,strongly disagree,rather happy,good,7,better off,most people can be trusted,not very much,not very much,6,6,5,6,46,30-49 years,high,medium
CHN,rather important,very important,very important,agree,agree,disagree,rather happy,very good,8,better off,most people can be trusted,a great deal,quite a lot,5,6,5,5,30,30-49 years,lower,medium
CHN,very important,not very important,rather important,strongly disagree,strongly disagree,strongly disagree,rather happy,fair,5,better off,need to be very careful,none at all,not very much,5,8,7,1,28,16-29 years,high,low
CHN,very important,not very important,rather important,disagree,strongly agree,strongly agree,not very happy,poor,5,better off,need to be very careful,not very much,quite a lot,7,8,3,4,29,16-29 years,high,medium
CHN,very important,not very important,rather important,disagree,disagree,disagree,rather happy,good,7,better off,most people can be trusted,quite a lot,quite a lot,5,5,5,3,20,16-29 years,high,medium
CHN,rather important,not very important,rather important,disagree,disagree,disagree,rather happy,good,5,better off,most people can be trusted,quite a lot,quite a lot,5,5,5,5,30,30-49 years,high,medium
CHN,very important,not very important,very important,strongly disagree,agree,strongly disagree,rather happy,fair,7,better off,most people can be trusted,quite a lot,none at all,4,7,10,1,21,16-29 years,high,medium
CHN,very important,rather important,very important,strongly agree,agree,disagree,rather happy,fair,7,better off,most people can be trusted,quite a lot,quite a lot,5,8,9,1,22,16-29 years,high,medium
CHN,very important,not at all important,rather important,strongly disagree,disagree,disagree,rather happy,poor,9,better off,need to be very careful,quite a lot,none at all,8,8,9,2,50,50 years and over,lower,medium
CHN,rather important,rather important,very important,agree,disagree,agree,rather happy,fair,5,better off,need to be very careful,a great deal,not very much,6,7,7,7,35,30-49 years,high,medium
CHN,rather important,not very important,rather important,strongly agree,disagree,disagree,rather happy,good,6,better off,most people can be trusted,quite a lot,quite a lot,4,5,10,1,47,30-49 years,high,medium
CHN,not very important,rather important,very important,agree,agree,agree,rather happy,good,7,better off,most people can be trusted,quite a lot,quite a lot,3,8,10,2,48,30-49 years,high,medium
CHN,very important,not very important,very important,strongly disagree,strongly agree,disagree,rather happy,fair,NA,worse off,most people can be trusted,quite a lot,quite a lot,5,5,7,3,24,16-29 years,high,medium
CHN,very important,not at all important,rather important,agree,agree,agree,not very happy,fair,7,better off,most people can be trusted,a great deal,a great deal,5,7,7,3,26,16-29 years,high,medium
CHN,not very important,rather important,rather important,disagree,disagree,disagree,not very happy,poor,6,better off,need to be very careful,not very much,not very much,7,6,3,5,24,16-29 years,high,medium
CHN,rather important,not at all important,rather important,agree,disagree,disagree,rather happy,fair,6,better off,NA,quite a lot,quite a lot,6,7,5,3,39,30-49 years,high,medium
CHN,very important,not very important,rather important,agree,disagree,strongly disagree,rather happy,good,7,better off,need to be very careful,not very much,not very much,6,8,6,3,20,16-29 years,high,medium
