country,import_leisure,import_politics,import_work,goals_parents_proud,men_political_leaders,univ_boy_girl,happiness,health,freedom,standard_of_living,trust,confidence_gov,confidence_univ,everyone_provided,corrupt,sci_tech_life,sci_not_important,age,age_3cat,highest_edu_3cat,income_3cat
CHN,rather important,not very important,very important,disagree,agree,disagree,rather happy,good,9,better off,most people can be trusted,quite a lot,a great deal,5,9,NA,NA,36,30-49 years,NA,low
CHN,very important,rather important,very important,agree,agree,disagree,rather happy,good,6,better off,most people can be trusted,quite a lot,quite a lot,8,8,10,10,46,30-49 years,high,medium
CHN,not very important,not very important,very important,agree,disagree,agree,very happy,very good,10,better off,most people can be trusted,quite a lot,quite a lot,8,8,8,1,52,50 years and over,middle,low
CHN,rather important,rather important,rather important,agree,agree,disagree,rather happy,fair,4,better off,need to be very careful,not very much,quite a lot,4,10,9,3,35,30-49 years,NA,medium
CHN,rather important,rather important,rather important,disagree,disagree,disagree,rather happy,good,10,better off,most people can be trusted,quite a lot,not very much,3,8,1,5,45,30-49 years,high,medium
CHN,very important,very important,very important,agree,agree,disagree,rather happy,poor,10,better off,need to be very careful,a great deal,a great deal,1,1,NA,NA,50,50 years and over,NA,medium
CHN,rather important,not very important,rather important,agree,agree,disagree,not very happy,poor,5,worse off,need to be very careful,quite a lot,quite a lot,7,4,6,3,57,50 years and over,middle,low
CHN,rather important,not at all important,rather important,disagree,agree,disagree,rather happy,good,8,better off,most people can be trusted,not very much,quite a lot,8,9,NA,NA,43,30-49 years,middle,medium
CHN,rather important,not at all important,not at all important,agree,agree,agree,not very happy,poor,5,worse off,need to be very careful,quite a lot,quite a lot,2,8,NA,NA,63,50 years and over,middle,medium
CHN,very important,rather important,rather important,agree,strongly disagree,strongly disagree,rather happy,good,8,better off,most people can be trusted,a great deal,a great deal,3,2,10,1,20,16-29 years,high,medium
CHN,rather important,not very important,very important,agree,agree,agree,rather happy,fair,6,better off,need to be very careful,quite a lot,quite a lot,2,8,9,2,53,50 years and over,lower,low
CHN,very important,very important,not very important,agree,disagree,disagree,not very happy,good,9,better off,most people can be trusted,a great deal,a great deal,3,7,7,10,68,50 years and over,middle,low
CHN,rather important,rather important,very important,agree,strongly agree,disagree,rather happy,good,8,better off,need to be very careful,quite a lot,quite a lot,7,9,10,1,34,30-49 years,high,medium
CHN,NA,NA,NA,agree,strongly agree,agree,not very happy,good,5,better off,most people can be trusted,quite a lot,quite a lot,6,4,10,7,69,50 years and over,NA,medium
CHN,very important,very important,very important,agree,disagree,disagree,rather happy,fair,1,worse off,most people can be trusted,quite a lot,quite a lot,1,10,NA,NA,52,50 years and over,NA,NA
CHN,very important,NA,not very important,agree,disagree,disagree,rather happy,fair,10,better off,need to be very careful,NA,NA,10,10,5,5,64,50 years and over,lower,low
CHN,rather important,rather important,rather important,agree,disagree,disagree,rather happy,good,8,worse off,most people can be trusted,a great deal,a great deal,2,7,10,1,22,16-29 years,high,medium
CHN,rather important,rather important,rather important,agree,agree,disagree,very happy,poor,7,better off,most people can be trusted,a great deal,a great deal,7,6,10,2,22,16-29 years,high,medium
CHN,rather important,rather important,not very important,strongly agree,strongly agree,disagree,rather happy,good,6,better off,most people can be trusted,quite a lot,quite a lot,1,9,10,1,51,50 years and over,high,medium
CHN,very important,not very important,not very important,disagree,disagree,disagree,rather happy,good,6,worse off,most people can be trusted,quite a lot,quite a lot,3,9,9,4,48,30-49 years,high,low
CHN,very important,not very important,rather important,strongly agree,agree,disagree,not very happy,very good,6,better off,most people can be trusted,a great deal,a great deal,2,7,10,1,25,16-29 years,high,low
CHN,very important,not very important,very important,agree,disagree,disagree,very happy,very good,8,better off,most people can be trusted,quite a lot,quite a lot,1,4,10,1,18,16-29 years,high,low
CHN,rather important,rather important,rather important,agree,agree,agree,very happy,fair,10,better off,most people can be trusted,a great deal,a great deal,1,6,10,1,55,50 years and over,lower,medium
CHN,very important,very important,very important,strongly agree,disagree,disagree,rather happy,poor,4,better off,need to be very careful,quite a lot,none at all,1,9,10,1,45,30-49 years,middle,low
CHN,not very important,not very important,very important,strongly agree,disagree,disagree,not very happy,fair,3,better off,most people can be trusted,quite a lot,quite a lot,9,7,5,5,32,30-49 years,lower,medium
CHN,not very important,not very important,rather important,strongly disagree,disagree,disagree,rather happy,good,3,better off,most people can be trusted,quite a lot,quite a lot,6,5,9,2,33,30-49 years,middle,low
CHN,not very important,very important,very important,strongly agree,agree,disagree,very happy,good,10,better off,need to be very careful,a great deal,quite a lot,1,1,10,1,29,16-29 years,lower,low
CHN,rather important,rather important,very important,agree,strongly disagree,strongly disagree,very happy,good,7,better off,most people can be trusted,a great deal,quite a lot,8,7,9,1,18,16-29 years,high,medium
CHN,very important,not very important,not very important,strongly agree,disagree,agree,very happy,fair,3,better off,most people can be trusted,a great deal,a great deal,5,7,8,1,63,50 years and over,lower,medium
CHN,rather important,rather important,not at all important,agree,agree,disagree,rather happy,good,7,better off,most people can be trusted,quite a lot,quite a lot,1,9,10,1,68,50 years and over,middle,medium
CHN,rather important,rather important,rather important,agree,disagree,disagree,rather happy,very good,7,better off,most people can be trusted,a great deal,a great deal,4,8,7,2,33,30-49 years,middle,low
CHN,rather important,rather important,rather important,agree,disagree,agree,rather happy,good,10,better off,need to be very careful,quite a lot,quite a lot,2,10,10,1,70,50 years and over,middle,medium
CHN,rather important,rather important,very important,strongly agree,agree,disagree,rather happy,fair,8,better off,most people can be trusted,a great deal,quite a lot,3,8,9,2,40,30-49 years,middle,medium
CHN,very important,rather important,very important,agree,disagree,agree,not at all happy,very good,6,better off,most people can be trusted,quite a lot,quite a lot,1,7,10,1,43,30-49 years,high,low
CHN,very important,rather important,rather important,agree,agree,disagree,very happy,good,8,better off,most people can be trusted,a great deal,quite a lot,5,8,6,1,37,30-49 years,middle,medium
CHN,very important,very important,very important,strongly agree,strongly agree,disagree,very happy,very good,10,better off,most people can be trusted,a great deal,a great deal,3,3,8,1,64,50 years and over,high,medium
CHN,very important,very important,very important,disagree,agree,disagree,rather happy,very good,10,better off,need to be very careful,a great deal,a great deal,5,5,5,6,53,50 years and over,middle,medium
CHN,not very important,rather important,rather important,strongly agree,agree,agree,very happy,fair,9,better off,need to be very careful,quite a lot,none at all,7,6,10,1,69,50 years and over,middle,medium
CHN,rather important,rather important,rather important,agree,disagree,disagree,rather happy,good,10,better off,most people can be trusted,quite a lot,quite a lot,1,10,10,1,49,30-49 years,middle,low
CHN,rather important,not very important,not very important,agree,disagree,disagree,very happy,fair,10,better off,need to be very careful,NA,not very much,5,5,10,5,63,50 years and over,lower,medium
CHN,rather important,rather important,not very important,disagree,disagree,disagree,very happy,very good,10,better off,most people can be trusted,a great deal,a great deal,1,3,10,1,68,50 years and over,middle,medium
CHN,very important,rather important,very important,strongly agree,strongly agree,strongly disagree,very happy,very good,9,better off,NA,a great deal,quite a lot,10,2,9,1,21,16-29 years,high,medium
CHN,very important,very important,very important,agree,disagree,disagree,rather happy,very good,10,better off,most people can be trusted,quite a lot,quite a lot,10,10,5,5,42,30-49 years,middle,low
CHN,rather important,not very important,rather important,disagree,disagree,disagree,very happy,very good,4,better off,most people can be trusted,quite a lot,quite a lot,7,6,7,4,18,16-29 years,middle,low
CHN,very important,not very important,not very important,agree,disagree,disagree,not at all happy,poor,1,about the same,NA,quite a lot,quite a lot,1,10,9,2,58,50 years and over,middle,low
CHN,rather important,rather important,rather important,agree,agree,agree,rather happy,fair,6,better off,most people can be trusted,quite a lot,quite a lot,1,10,9,3,60,50 years and over,high,low
CHN,rather important,rather important,not very important,agree,disagree,disagree,very happy,fair,8,better off,need to be very careful,a great deal,a great deal,5,10,8,1,64,50 years and over,lower,low
CHN,not very important,very important,rather important,agree,disagree,disagree,rather happy,fair,9,better off,need to be very careful,a great deal,quite a lot,1,3,8,2,46,30-49 years,lower,low
CHN,not very important,very important,very important,agree,agree,disagree,very happy,very good,8,worse off,most people can be trusted,a great deal,a great deal,8,8,9,3,30,30-49 years,NA,low
CHN,very important,rather important,very important,agree,agree,disagree,rather happy,fair,NA,better off,most people can be trusted,a great deal,quite a lot,1,2,10,1,65,50 years and over,lower,medium
CHN,very important,very important,very important,agree,disagree,disagree,very happy,fair,8,better off,need to be very careful,a great deal,a great deal,9,7,9,2,60,50 years and over,middle,medium
CHN,rather important,very important,rather important,disagree,strongly disagree,strongly disagree,rather happy,fair,5,better off,most people can be trusted,a great deal,not very much,7,5,6,1,22,16-29 years,high,low
CHN,rather important,very important,very important,agree,agree,strongly agree,rather happy,fair,5,worse off,need to be very careful,a great deal,a great deal,9,10,2,1,55,50 years and over,lower,low
CHN,very important,very important,very important,agree,disagree,disagree,very happy,very good,9,better off,need to be very careful,a great deal,a great deal,9,8,9,3,49,30-49 years,high,high
CHN,very important,very important,not very important,strongly agree,strongly agree,strongly agree,very happy,good,10,better off,need to be very careful,a great deal,a great deal,1,10,10,10,65,50 years and over,lower,low
CHN,rather important,not very important,very important,agree,agree,agree,rather happy,fair,5,better off,need to be very careful,quite a lot,quite a lot,5,7,9,3,31,30-49 years,high,low
CHN,NA,NA,NA,disagree,agree,disagree,rather happy,good,6,better off,need to be very careful,quite a lot,quite a lot,6,10,10,1,26,16-29 years,middle,medium
