year,institution_name,city_txt,state_cd,classification_name,ef_total_count,sector_name,partic_men,partic_women,total_exp_menwomen,exp_ratio,sports
2019,Houston Baptist University,Houston,TX,NCAA Division I-FCS,2067,Private nonprofit,15,17,2417338,1.2386884249968282,Basketball
2019,University of the Incarnate Word,San Antonio,TX,NCAA Division I-FCS,4029,Private nonprofit,14,13,2612037,1.113243831874903,Basketball
2019,Lamar University,Beaumont,TX,NCAA Division I-FCS,5237,Public,14,12,2505260,1.248664853560241,Basketball
2019,Prairie View A & M University,Prairie View,TX,NCAA Division I-FCS,7501,Public,18,14,2188506,1.2136396647536125,Basketball
2019,Sam Houston State University,Huntsville,TX,NCAA Division I-FCS,15311,Public,15,17,2261888,1.1497832527203897,Basketball
2019,Stephen F Austin State University,Nacogdoches,TX,NCAA Division I-FCS,9183,Public,16,13,3239168,1.7566824166995738,Basketball
2019,Texas Southern University,Houston,TX,NCAA Division I-FCS,6032,Public,14,16,2849605,1.3447074263474679,Basketball
2019,Southern Utah University,Cedar City,UT,NCAA Division I-FCS,6831,Public,14,15,2351577,1.4310504709456855,Basketball
2019,Weber State University,Ogden,UT,NCAA Division I-FCS,10778,Public,16,14,2971088,1.64428363040222,Basketball
2019,William & Mary,Williamsburg,VA,NCAA Division I-FCS,6187,Public,15,13,4534968,1.6371060595135363,Basketball
2019,Hampton University,Hampton,VA,NCAA Division I-FCS,3488,Private nonprofit,17,15,2403060,1.1767537920133337,Basketball
2019,James Madison University,Harrisonburg,VA,NCAA Division I-FCS,18772,Public,13,33,6202397,1.4178999688133478,Basketball
2019,Norfolk State University,Norfolk,VA,NCAA Division I-FCS,4570,Public,14,15,2778701,1.285698656729923,Basketball
2019,University of Richmond,University of Richmond,VA,NCAA Division I-FCS,2937,Private nonprofit,15,17,7488204,1.8907821383252528,Basketball
2019,Virginia Military Institute,Lexington,VA,NCAA Division I-FCS,1698,Public,15,NA,1501001,NA,Basketball
2019,Eastern Washington University,Cheney,WA,NCAA Division I-FCS,8906,Public,18,16,2987035,1.2406952600136225,Basketball
2019,Kennesaw State University,Kennesaw,GA,NCAA Division I-FCS,25285,Public,16,14,2663345,1.2340162291201482,Basketball
