Rank,School,Record
260,Loyola Maryland University,13-16
261,Tennessee Tech University,21-Sep
262,Alcorn University,17-17
263,USC Upstate University,13-17
264,Air Force University,18-Nov
265,Ball State University,13-17
266,FIU University,13-17
267,New Orleans University,15-14
268,Lipscomb University,19-Nov
269,Eastern Kentucky University,18-Sep
270,Presbyterian College,20-Sep
271,Portland State University,17-Dec
272,UC San Diego University,16-Nov
273,Dixie State University,18-Sep
274,Tennessee State University,18-Dec
275,North Florida University,20-Aug
276,ULM University,18-Oct
277,Jackson State University,19-Nov
278,Duquesne University,24-Jun
279,Army West Point University,13-16
280,CSU Bakersfield University,19-Jun
281,UAlbany University,13-18
282,Hartford University,20-Dec
283,UIC University,13-16
284,Bowling Green University,18-Nov
285,Pepperdine University,25-Jun
286,N.C. A&T University,20-Sep
287,Western Caro. University,21-Oct
288,Radford University,18-Sep
289,Austin Peay University,17-Oct
290,N.C. Central University,15-Dec
291,Merrimack College ,13-16
292,SIUE University,21-Sep
293,San Jose State University,23-Jul
294,Binghamton University,17-Oct
295,Prairie View University,19-Aug
296,Denver University,20-Oct
297,NIU University,21-Sep
298,Pacific University,22-Jun
299,Lehigh University,19-Dec
300,Morgan State University,15-Sep
301,Coppin State University,23-Sep
302,South Carolina State University,16-Dec
303,UT Martin University,22-Jun
304,Grambling University,20-Oct
305,Stetson University,19-Jul
306,Eastern Mich. University,21-Sep
307,UTRGV University,23-Jun
308,California Polytechnic State University-San Luis Obispo,21-Jun
309,UMES University,16-Aug
310,Florida A&M University,17-Nov
311,Sacramento State University,18-Sep
312,Alabama State University,21-Sep
313,McNeese University,22-Jul
314,St. Thomas (MN) University,20-Jul
315,Little Rock University,19-Jun
316,North Ala. University,21-May
317,Central Ark. University,20-Sep
318,Central Mich. University,23-Jul
319,Lafayette College,20-Sep
320,Alabama A & M University,18-Dec
321,St. Francis Brooklyn University,20-Sep
322,Hampton University,19-Jul
323,Sacred Heart University,20-Sep
324,UTSA University,21-Jul
325,Idaho University,22-Jul
326,CSUN University,22-Jun
327,Evansville University,24-May
328,Robert Morris University,24-Jul
329,Western Mich. University,22-Jun
330,Northwestern State University,23-Jun
331,Saint Francis (PA) University,21-Aug
332,NJIT University,18-Oct
333,Milwaukee University,22-Sep
334,Bucknell University,23-Sep
335,American University,22-Oct
336,Northern Arizona University,23-Jul
337,Bethune-Cookman University,21-Aug
338,Houston Baptist University,18-Jul
339,William & Mary University,27-Apr
340,Chicago State University,25-Jul
341,Southern Miss. University,26-May
342,Idaho State University,23-May
343,College of the Holy Cross ,22-Jul
344,Green Bay University,25-Apr
345,Central Conn. State University,24-Aug
346,Omaha University,25-Apr
347,Charleston So. University,25-Mar
348,North Dakota University,25-Apr
349,Fairleigh Dickinson University,22-Apr
350,UIW University,24-May
351,Columbia University,22-Mar
352,Ark.-Pine Bluff University,24-May
353,Maine University,23-Mar
354,Lamar University University,0-27
355,Mississippi Val. University,26-Feb
356,Eastern Ill. University,26-Mar
357,Delaware State University,0-25
358,IUPUI University,26-Jan
