NEWID,BLS_URBN,CUTENURE,HIGH_EDU,FAM_SIZE,FINCBEFX,FRSHVEG,FRSHFRUT,FOODTOT,FOODAWAY,FOODHOME
04729122,1,1,16,2,0,7.09,16.24,194.72,64.68,130.04
04729142,1,2,14,1,1300,4.99,0,4.99,0,4.99
04729161,1,1,16,2,900,31.79868,58.00622,981.44999,252.96,728.48999
04729162,1,1,16,2,900,0,10.85125,490.41,252.43,237.98
04729171,2,4,13,1,16344,1.87,4.91,55.74,0,55.74
04729172,2,4,13,1,16344,2.28,9.92,50.22,20.45,29.77
04729181,1,4,12,5,32000,7.72,3.76,147.16,6.62,140.54
04729182,1,4,12,5,32000,12.62,9.88,140.11,0,140.11
04729231,1,2,16,2,285000,13.39245,19.07029,329.93002,0,329.93002
04729232,1,2,16,2,285000,0,0,77.59,17.64,59.95
04729251,1,2,15,2,32106,11.01,0,85.02,0,85.02
04729252,1,2,15,2,32106,0,0,46.68,19.18,27.5
04729261,1,2,16,2,99664,8.19,0,117.62,5.63,111.99
04729262,1,2,16,2,99664,5.17,0,189.94,36.61,153.33
04729281,1,4,12,1,22770,2.99,0,35.18,0,35.18
04729282,1,4,12,1,22770,6.92,0,55.44,0,55.44
04729311,1,4,12,2,25700,0,0,215.91,196.46,19.45
04729312,1,4,12,2,25700,9.68,0,208.75,57.44,151.31
04729321,1,6,13,1,3000,0,0,28.18,23.92,4.26
04729322,1,6,13,1,3000,0,0,64.78,64.78,0
04729331,1,4,16,4,50000,0,0,0,0,0
04729332,1,4,16,4,50000,73.4,7.48,237.75001,0,237.75001
04729341,1,3,15,2,0,0,0,11.26,0,11.26
04729342,1,3,16,2,0,4.1,0,114.28,40.25,74.03
04729361,1,2,11,1,15006,0,4.4,10,0,10
04729362,1,2,11,1,15006,0.94,1.38,15.38,0,15.38
04729411,1,1,15,4,50000,14,9.98,38.98,0,38.98
04729412,1,1,15,4,50000,11,13.99,48.99,0,48.99
04729451,1,1,15,2,160000,0,3.7,148.89462,72.96462,75.93
04729452,1,1,15,2,160000,0,8.6,225.72,67.95,157.77
04729541,1,1,16,5,120000,6.92,2.92,350.6,249.82,100.78
04729542,1,1,16,5,120000,0,1.45,361.49,211.79,149.7
04729561,2,2,14,3,36000,0,0,0,0,0
04729601,1,1,16,2,430492,37.36,38.52,367.93411,67.53411,300.4
04729602,1,1,16,2,430492,6.78,33.96,220.04,40,180.04
04729611,1,1,15,2,225000,0,0,363.63,354.9,8.73
04729612,1,1,15,2,225000,0,0,364.78,286.22,78.56
04729621,1,2,12,3,17382,6.26,6.21,58.12,0,58.12
04729622,1,2,12,3,17382,0,3.99,31.62,0,31.62
04729641,1,1,16,2,91000,0,0,91,91,0
04729642,1,1,16,2,91000,0,0,114.5,114.5,0
04729671,1,2,13,1,22638,0,0,31.49,31.49,0
04729672,1,2,13,1,22638,0,0,68.68,68.68,0
04729701,1,3,13,1,1782,0,0,0,0,0
04729702,1,3,11,1,1782,2.29625,4.65267,99.99999,0,99.99999
04729731,1,2,15,3,18171,3.77,7.24,360.53,264.88,95.65
04729732,1,2,15,3,18171,0,4.19,714.89999,285.75,429.14999
04729741,1,2,15,2,0,0,0,30.85,30.85,0
04729742,1,2,15,2,0,5.81,1.36,128.37,9.58,118.79
04729751,1,1,14,2,132200,23.62,28.39,314.28,11.83,302.45
04729752,1,1,14,2,132200,13.68,34.2,372.87944,160.26944,212.61
04729771,1,3,14,3,0,0,0,0,0,0
04729772,1,3,14,3,0,0,0,0,0,0
04729801,1,1,12,2,36364,13,0,173.77,61.77,112
04729802,1,1,12,2,36364,0,0,198.55,72.55,126
04729811,1,1,15,2,103919,0,0,49.95,37.08,12.87
04729812,1,1,15,2,103919,6.96457,8.23043,110.57,34.5,76.07
04729821,1,4,12,1,30000,0,0,0,0,0
04729822,1,4,12,1,30000,0,0,51.75,0,51.75
04729831,2,1,15,2,86010,4.6,10.97,189.02,21.11,167.91
04729832,2,1,15,2,86010,1.52,0,110.88,85.29,25.59
04729861,1,1,16,1,74734,12.99,0,679.55,38.92,640.63
04729862,1,1,16,1,74734,0,0,279.02,9.02,270
04729881,1,4,12,1,22000,0,12.41,61.5,0,61.5
04729882,1,4,12,1,22000,0,0,0,0,0
04729891,1,4,15,2,125000,9.68763,0,204,58.33,145.67
04729892,1,4,15,2,125000,0,0,326.81,45.73,281.08
04729931,1,4,13,2,66020,12.97,51.11006,448.41,119.26,329.15
04729932,1,4,13,2,66020,0,3.99,454.36,214.48,239.88
04729941,1,4,16,4,10015,0,0,71,71,0
04729942,1,4,16,4,10015,4.29076,0,69.57999,24.89,44.68999
04729991,1,4,11,3,65000,0,0,0,0,0
04729992,1,4,11,3,65000,30.14,50.04,244.83,50.62,194.21
04730011,2,2,14,1,48394,4.68,6.93,211.01,0,211.01
04730012,2,2,14,1,48394,2.99,5.84,49.98,0,49.98
04730071,1,4,16,2,125000,0,0,100.98,100.98,0
04730072,1,4,16,2,125000,0,0,28.22,28.22,0
04730111,1,4,15,1,21174,0,0,66.54,66.54,0
04730112,1,4,15,1,21174,4.21,3.47,96.81,4.5,92.31
04730171,1,2,15,2,74000,6.32,0,338.02,218.3,119.72
04730172,1,2,15,2,74000,0,0,45.16,25,20.16
04730181,1,4,14,2,0,8,0,77.47,52,25.47
04730182,1,4,14,2,0,1.79,11.98,89.63,59.39,30.24
04730191,1,1,15,4,55000,9.00407,10.74071,160.61999,0,160.61999
04730192,1,1,15,4,55000,0,0,0,0,0
04730221,1,2,12,3,3000,8.43,9.71,177.68,6.5,171.18
04730222,1,2,16,3,3000,0,0,20.35,0,20.35
04730231,1,1,16,3,232010,29.02,13.27,318.11,0,318.11
04730232,1,1,16,3,232010,0,0,0,0,0
04730241,1,2,12,2,24388,0,4.2,9.54,0,9.54
04730242,1,2,12,2,24388,0,0,61.74,0,61.74
04730261,1,1,14,3,190500,30.04,9.57,264.33,37.59,226.74
04730262,1,1,14,3,190500,53.78,30.54,344.82,34.18,310.64
04730271,1,4,15,3,34352,0,0,11.96,11.96,0
04730272,1,4,15,3,34352,6.48,0,184.63652,46.31652,138.32
04730281,1,4,15,1,0,0,0,151.7,151.7,0
04730282,1,4,15,1,0,0,0,70.74703,70.74703,0
04730291,1,1,13,1,2200,1.48,4.93,78.66,14.72,63.94
04730292,1,1,13,1,2200,0,0,29.35,29.35,0
04730311,1,4,15,5,99930,0,0,94.18,82.66,11.52
04730312,1,4,14,5,99930,0,0,0,0,0
04730321,1,2,13,1,40230,0,8.18,261.22,29.92,231.3
04730322,1,2,13,1,40230,0,11.19,264.81998,19.42,245.39998
04730351,1,5,15,1,60000,0,13.97,375.84,177.94,197.9
04730352,1,5,15,1,60000,0,6.99,43.95,22.98,20.97
04730371,1,2,13,2,91164,7.49,3.66,150.87,48.77,102.1
04730372,1,2,13,2,91164,8.69,2.67,195.53,84.12,111.41
04730391,1,1,15,3,170000,0,0,5.95,5.95,0
04730392,1,1,15,3,170000,1.74,0,71.38,22.58,48.8
04730421,1,4,13,1,7000,6.48,0,44.56,0,44.56
04730422,1,4,13,1,7000,4.47,5.57,46.8,0,46.8
04730431,1,4,14,3,42200,30.43,16.74,338.69,62,276.69
04730432,1,4,14,3,42200,0,0,97.41,84.44,12.97
04730451,1,4,13,3,34000,8.02922,3.41201,140.89002,15.89,125.00002
04730452,1,4,13,3,34000,7.24411,8.6472,94.81001,0,94.81001
04730461,2,4,12,1,23530,0,0,22.92,12.29,10.63
04730462,2,4,12,1,23530,0,0,35.8,1.99,33.81
04730501,1,1,15,1,100200,0,6.02246,110,80,30
04730502,1,1,15,1,100200,0,2.9017,82.99999,66,16.99999
04730571,1,4,11,1,1794,0,0,12.92,0,12.92
04730581,1,4,15,1,70050,9.64048,9.87228,183,53,130
04730582,1,4,15,1,70050,0,4.52994,202.02,38,164.02
04730601,1,2,16,2,57534,0,0,111.26,23.75,87.51
04730602,1,2,16,2,57534,0,0,87.07,57.04,30.03
04730611,1,1,12,1,42435,0,0,0,0,0
04730612,1,1,12,1,42435,0,10.28,19.76,0,19.76
04730621,1,4,13,3,58382,12.96,68.53,153.81331,18.44331,135.37
04730622,1,4,13,3,58382,9.99,0,43.98,30,13.98
04730641,1,1,14,1,55000,0,0,89.79,89.79,0
04730642,1,1,14,1,55000,0,0,156.59,156.59,0
04730671,1,2,16,1,64400,16.39814,3.33895,200.00001,50,150.00001
04730672,1,2,16,1,64400,0,0,50,50,0
04730711,1,1,13,2,68183,19.92445,8.52158,272.99998,23,249.99998
04730712,1,1,13,2,68183,0,0,18,18,0
04730751,2,2,12,1,10068,11.455870000000001,8.12765,132.59999,63.89,68.70999
04730752,2,2,12,1,10068,7.90264,9.87293,151.10002,42.54,108.56002
04730771,1,4,13,3,33400,70,7,140.6,0,140.6
04730772,1,4,13,3,33400,2.95,6.23,70.37147,13.87147,56.5
04730781,1,4,13,1,55000,0,0,167.93,90.95,76.98
04730782,1,4,13,1,55000,0,0,62.52,41.25,21.27
04730801,1,4,13,1,0,0,0,10.48,10.48,0
04730841,1,1,12,2,0,9.94,13.81,119.93,0,119.93
04730842,1,1,12,2,0,5.62,5.15,85.73,28.08,57.65
04730861,1,4,13,2,0,5.43774,8.24303,344.62,179.74,164.88
04730862,1,4,13,2,0,2.28189,20.04088,375.98999,117.9,258.08999
04730891,1,4,12,5,64000,0,0,40,40,0
04730892,1,4,12,5,64000,0,0,7,7,0
04730911,1,4,11,1,13380,1.67,7.97,42.71,0,42.71
04730912,1,4,11,1,13380,1.78,8.91,120.27,59,61.27
04730931,1,4,13,1,13614,0,0,28.89,7.99,20.9
04730932,1,4,13,1,13614,0,0,0,0,0
04730941,1,4,12,1,23930,0,0,0,0,0
04730942,1,4,12,1,23930,15.42,8.96,353.49,0,353.49
04730981,1,1,15,2,162200,7.71,42.19,265.44,6,259.44
04730982,1,1,15,2,162200,19.98,23.03,210.68166,15.44166,195.24
04731011,1,4,12,1,79348,0,0,39.27,0,39.27
04731012,1,4,12,1,79348,0,0,61.23,9.33,51.9
04731021,1,4,14,2,80000,10.95,6.57,241.05,70.78,170.27
04731022,1,4,14,2,80000,12.85,10.45,211.62,79.55,132.07
04731031,1,2,15,1,55000,4.19,17.8,59.7,22,37.7
04731032,1,2,15,1,55000,0,0,0,0,0
04731061,1,2,16,2,43964,2.3,11.53,229.63,61,168.63
04731062,1,2,16,2,43964,6.09219,35.52,255.38,43.77,211.61
04731081,1,1,15,2,93000,15.5,0,337.88,102.42,235.46
04731082,1,1,15,2,93000,0,0,191.99,123.81,68.18
04731101,1,5,10,1,35000,0,0,0,0,0
04731102,1,5,10,1,35000,0,0,0,0,0
04731111,1,1,14,2,121600,6.9,0,422.38,360.7,61.68
04731112,1,1,14,2,121600,1.72,1.82,344.18,260.04,84.14
04731131,2,1,15,1,24000,0,0,10.25,10.25,0
04731132,2,1,15,1,24000,0,3.99,88.51,0,88.51
04731151,1,4,14,4,58000,0,0,0,0,0
04731152,1,4,14,4,58000,0,0,83,83,0
04731161,1,4,14,1,2800,17.13,5.35,65.77,0,65.77
04731162,1,4,14,1,2800,0,0,35.2,0,35.2
04731201,1,1,12,1,14922,0,1.2,74.05,18.63,55.42
04731202,1,1,12,1,14922,6.67,7.29,110.32,10.36,99.96
04731211,1,4,13,4,2000,0,0,5.48,0,5.48
04731212,1,4,13,4,2000,0,0,0,0,0
04731291,1,2,13,1,29042,0,0,54.88,0,54.88
04731292,1,2,13,1,29042,0,0,57.08,5.58,51.5
04731311,1,1,12,5,95000,0,0,0,0,0
04731312,1,1,12,5,95000,8.95981,16.09843,437.25001,165,272.25001
04731321,1,1,12,2,130000,10,8.63,192.8,57.38,135.42
04731322,1,1,12,2,130000,0,0,103.66,35.7,67.96
04731351,1,2,15,5,60000,2.46443,0,95.90999,0,95.90999
04731352,1,2,15,5,60000,0,10.18471,114.89,53.38,61.51
04731361,1,4,12,1,24000,8.62,13.97,294.19,106.59,187.6
04731362,1,4,12,1,24000,4.79,8.32,184.04,50.06,133.98
04731401,1,1,15,2,30370,4.4133,0,300,180,120
04731402,1,1,15,2,30370,5.10587,0,286.00001,186,100.00001
04731451,1,4,12,2,30000,12.11,9.45,127.68,0,127.68
04731452,1,4,12,2,30000,13.09,7.34,105.48,0,105.48
04731461,1,1,13,4,58000,0,0,0,0,0
04731462,1,1,13,4,58000,4.4,6.83,265.09,0,265.09
04731481,1,4,16,1,62407,0,0,0,0,0
04731482,1,4,16,1,62407,2.38424,0,60,0,60
04731531,1,5,12,2,0,0,0,2.75,0,2.75
04731532,1,5,12,2,0,0,0,12.95,0,12.95
04731581,1,1,12,1,61000,2.28414,9.32764,201.52001,156.87,44.65001
04731582,1,1,12,1,61000,0,5.46942,108.81,85.11,23.7
04731601,1,1,13,1,0,0,0,255.01536,231.01536,24
