NEWID,BLS_URBN,CUTENURE,HIGH_EDU,FAM_SIZE,FINCBEFX,FRSHVEG,FRSHFRUT,FOODTOT,FOODAWAY,FOODHOME
04733522,1,2,11,1,101000,1.99,6.98,246.29,200,46.29
04733571,1,1,13,2,58417,0,0,17.36,13.38,3.98
04733572,1,1,13,2,58417,2.49922,3.63024,99.96,13.54,86.42
04733581,1,4,16,1,96000,12.59355,7.74175,172.43998,0,172.43998
04733582,1,4,16,1,96000,0,3.52293,89.03998,0,89.03998
04733611,1,2,16,3,85000,6.55874,24.82,184.33999,0,184.33999
04733612,1,2,16,3,85000,7.89,28.17667,260.86,0,260.86
04733631,1,1,14,1,48000,0,0,47.72,47.72,0
04733632,1,1,14,1,48000,0,0,32.84,32.84,0
04733641,1,1,15,4,335492,0,31.48,449,298.71,150.29
04733642,1,1,15,4,335492,8.07,54.56,591.39,276.64,314.75
04733671,1,4,14,5,59200,7.09392,7.43654,249.99998,100,149.99998
04733672,1,4,14,5,59200,0,6.08987,219.99999,70,149.99999
04733701,1,1,16,4,0,18.84,14.7,704.6,91.27,613.33
04733702,1,1,16,4,0,15.54,20.2,694.47,166.73,527.74
04733731,1,4,16,1,200000,15.58,0,89.26,51.71,37.55
04733732,1,4,16,1,200000,15.36,15.06,104.29,50.11,54.18
04733741,1,1,16,4,177810,8.96,27.36,143.3,0,143.3
04733742,1,1,16,4,177810,4.42,17.77,231.81,92.56,139.25
04733801,1,1,15,2,195000,0,0,0,0,0
04733802,1,1,15,2,195000,13.32282,15.63749,191.07002,0,191.07002
04733831,1,1,12,4,202000,32.86,12.76,286.31,15.69,270.62
04733832,1,1,12,4,202000,14.35,4.79,106.08,47.02,59.06
04733891,1,1,15,3,73264,9.98,0,43.22,0,43.22
04733892,1,1,15,3,73264,0,0,0,0,0
04733921,1,2,12,1,24000,0,0,0,0,0
04733922,1,2,12,1,24000,4.99,0,110.23,85.99,24.24
04733941,1,4,16,2,190000,0,0,367.78001,263.17,104.61001
04733942,1,4,16,2,190000,0,0,22.43,6.99,15.44
04733961,1,2,11,1,17382,6.05,0,32.58,0,32.58
04733962,1,2,11,1,17382,2.78,2.88,56.14,0,56.14
04733991,1,2,16,2,64264,7.72,10.74,136.26,0,136.26
04733992,1,2,16,2,64264,3.69,1.1,135.32,75.35,59.97
04734001,1,1,14,3,73000,4.05296,13.89126,213.63001,0,213.63001
04734002,1,1,14,3,73000,0,0,0,0,0
04734021,1,1,16,4,213000,12.78,44.39,345.73,178.72,167.01
04734022,1,1,16,4,213000,4.99,44.46,180.65999,28.88,151.77999
04734061,1,4,13,3,69250,3.18,22.95,405.99,188.29,217.7
04734062,1,4,13,3,69250,0,7.49,121.45,108,13.45
04734071,1,1,16,2,90385,9.32224,6.27777,230.62001,80.57,150.05001
04734072,1,1,16,2,90385,2.42269,15.21079,329,153,176
04734091,1,2,12,1,34000,7.5295,0,100.00001,0,100.00001
04734092,1,2,12,1,34000,19.07415,3.40633,99.99999,0,99.99999
04734101,1,4,13,5,70000,0,0,25.25,15.31,9.94
04734102,1,4,13,5,70000,0,0,119.84,116.71,3.13
04734111,1,4,13,2,33400,1.98,6.76,126.69,0,126.69
04734112,1,4,13,2,33400,0,0,0,0,0
04734151,1,1,13,1,120000,0,0,5.65,5.65,0
04734161,1,1,15,5,163000,6.29,2.49,200.17,0,200.17
04734162,1,1,15,5,163000,0,0,0,0,0
04734191,1,1,16,3,123900,0,0,57.16,57.16,0
04734192,1,1,16,3,123900,0,0,30.85,30.85,0
04734221,1,2,16,2,85164,10.5,15.23,216.6,5,211.6
04734222,1,2,16,2,85164,2.25,14.28,112.34,0,112.34
04734241,1,1,16,1,54417,0,0,33.71,25.96,7.75
04734242,1,1,16,1,54417,4.59,13.27,225.08,49,176.08
04734251,1,2,15,1,15000,31.06,5.94,180.98,50.41,130.57
04734252,1,2,15,1,15000,3.14,5.94,68.99666,36.06666,32.93
04734261,1,2,13,2,7096,0,4.59472,319.24931,17.83,301.41931
04734262,1,2,13,2,7096,21,0,304.54,24.67,279.87
04734291,1,4,14,1,0,0,0,114.2,8.79,105.41
04734292,1,4,14,1,0,11.01,0,89.93,0,89.93
04734321,1,1,16,4,205300,0,0,0,0,0
04734322,1,1,16,4,205300,0,0,99.95,41.24,58.71
04734371,1,1,16,4,184200,7.38,5.51,536.93,250.52,286.41
04734372,1,1,16,4,184200,12.26,2.61,558.39,301.85,256.54
04734391,1,2,12,1,23154,0,14.84,183.27,47.59,135.68
04734392,1,2,12,1,23154,10.79,14.03,201.78,1.48,200.3
04734471,1,1,16,2,198000,0,0,0,0,0
04734472,1,1,16,2,198000,0,0,14,14,0
04734491,1,2,15,4,40000,10.91,0,142.46,5.99,136.47
04734492,1,2,15,4,40000,11.41,16.06,208.71,0,208.71
04734501,1,4,13,2,39964,4.23,15.64,187.67,6.56,181.11
04734502,1,4,13,2,39964,16.72,8.63,108.69,0,108.69
04734511,1,1,16,4,152000,69.49,2.15,151.91001,3,148.91001
04734512,1,1,16,4,152000,71.05,23.63,224.45,0,224.45
04734521,1,4,13,5,61801,0,0,23.47,18,5.47
04734522,1,4,13,5,61801,0,5.92,56.17,0,56.17
04734561,1,1,15,2,178200,8.47746,3.93978,83.00001,0,83.00001
04734562,1,1,15,2,178200,0,2,67.41,34,33.41
04734571,1,2,12,2,44364,9.6882,5.77858,153.4,43.4,110
04734572,1,2,12,2,44364,2.69448,21.91282,240,20,220
04734581,1,4,16,2,70000,7.86823,8.05742,140.00002,15,125.00002
04734582,1,4,16,2,70000,0,0,30,0,30
04734601,1,2,16,2,67764,0,9.88,168.74,100.54,68.2
04734602,1,2,16,2,67764,0,7.92,218.75,123.15,95.6
04734631,1,2,16,2,131182,0,0,0,0,0
04734632,1,2,16,2,131182,59.02,35.62,260.78,0,260.78
04734711,1,6,13,1,2000,0,0,37.97,37.97,0
04734712,1,6,13,1,2000,0,0,19,19,0
04734721,1,1,16,3,332320,22.62697,27.90288,483.35998,64.67,418.68998
04734722,1,1,16,3,332320,10.58671,38.04018,433.71,58.12,375.59
04734741,2,1,16,2,121661,0,0,0,0,0
04734742,2,1,16,2,121661,0,0,0,0,0
04734791,1,4,16,1,48000,6.2,0,105.4,28.95,76.45
04734792,1,4,16,1,48000,0,0,47.87,23,24.87
04734811,1,1,13,2,50000,12.2,1.34,221.9,99.99,121.91
04734812,1,1,13,2,50000,0,0,423.76,378.4,45.36
04734821,1,4,12,5,48000,0,2.21,83.03,0,83.03
04734822,1,4,12,5,48000,11.34,27.19,327.32,35.05,292.27
04734831,1,1,16,4,250000,19.14594,35.79298,504.20672,93.53671,410.67001
04734832,1,1,16,4,250000,15.69401,15.85353,392.9195,99.23953,293.67997
04734841,1,1,15,2,58382,3.74,19.77,103.58,0,103.58
04734842,1,1,15,2,58382,5.98,24.19,97.1,0,97.1
04734851,1,1,12,1,95288,9.88,0,59.8,0,59.8
04734852,1,1,12,1,95288,5.39,3.77,89.46,0,89.46
04734861,1,1,13,2,40182,6.07599,9.1167,156.06,19,137.06
04734862,1,1,13,2,40182,11.89575,20.42415,187.18,12.5,174.68
04734871,2,2,12,1,15177,0,0,7.59,0,7.59
04734872,2,2,12,1,15177,8,3.35,150.78,5.19,145.59
04734921,1,4,15,3,12200,0,0,87.64,32.79,54.85
04734922,1,4,13,3,12200,0,0,0,0,0
04734931,1,4,13,2,108513,2.67027,10.81678,290.24325,159.13327,131.10998
04734932,1,4,13,2,108513,2.07,1.4,95.99,0,95.99
04734991,1,4,12,1,0,0,0,0,0,0
04734992,1,4,12,1,0,0,0,0,0,0
04735001,1,1,15,2,105244,12.14072,20.51287,396.39003,234.4,161.99003
04735002,1,1,15,2,105244,2.6786,14.87258,491.82999,234.49,257.33999
04735021,1,3,12,1,0,0,0,0,0,0
04735022,1,4,12,1,0,0,0,0,0,0
04735041,1,2,16,5,3192,17.64,7.07,249.15,63.64,185.51
04735042,1,2,16,5,3192,9.31,2.49,203.95,84.82,119.13
04735051,1,1,13,7,152000,28.5,20.33,425.35,37,388.35
04735052,1,1,13,7,152000,1.33,22.74,287.58,125.35,162.23
04735061,1,4,13,3,56705,32.95,21.99,516.32,191.55,324.77
04735062,1,4,13,3,56705,0,0,187.26,187.26,0
04735071,1,4,13,1,5800,0,0,82.03,20.46,61.57
04735072,1,4,13,1,5800,5.09,3.23,206.53,159.16,47.37
04735101,1,4,13,2,24394,2,0,166.61,48.56,118.05
04735102,1,4,13,2,24394,0,1.61,118.73,48.31,70.42
04735131,1,1,12,6,134000,3.5,34.29,303.14,0,303.14
04735132,1,1,12,6,134000,8.76,3.45,139.9,0,139.9
04735181,1,5,12,1,0,0,0,26.47,26.47,0
04735182,1,5,12,1,0,0,0,24.53,24.53,0
04735191,1,1,12,2,0,0,0,114.21,0,114.21
04735192,1,1,12,2,0,2.23,13.23,134.25,0,134.25
04735211,1,1,12,5,64930,29.42,53.17,353.56,76,277.56
04735212,1,1,12,5,64930,20.86,22.89,243.1,72.36,170.74
04735261,1,4,13,4,51002,10.09,4.64,86.15,5.97,80.18
04735262,1,4,13,4,51002,10.25,4.11,32.45,3.98,28.47
04735291,1,1,16,3,240000,20.35,14.76,215.92,127.68,88.24
04735292,1,1,16,3,240000,41.49,70.65,268.96,31,237.96
04735311,1,1,16,4,181300,0,32.74,115.58,34,81.58
04735312,1,1,16,4,181300,0,0,0,0,0
04735331,1,4,15,1,25600,0.64,0,34.84,0,34.84
04735332,1,4,15,1,25600,6.18,1.69,40.19,0,40.19
04735351,1,4,13,1,49722,2.7,2.64,50.09,0,50.09
04735352,1,4,13,1,49722,6.5,9,74.5,10.5,64
04735361,1,4,16,2,25020,14.15,6.55,146.49,30.48,116.01
04735362,1,4,16,2,25020,23.84,4.14,141.3,38.64,102.66
04735371,1,1,14,3,54010,0,0,82.33,82.33,0
04735372,1,1,14,3,54010,2.15449,4.36543,130.23002,40,90.23002
04735381,1,2,12,2,44400,0,0,69.76,0,69.76
04735382,1,2,12,2,44400,0,0,0,0,0
